Admission No,Name,Class,Section
ADM001,Ahmed Mirjan,10,A
ADM002,Sarah Johnson,10,A
ADM003,Mohammed Ali,10,B
ADM004,Priya Sharma,9,A
ADM005,Ravi Kumar,9,A
ADM006,Fatima Noor,9,B
ADM007,Daniel Thomas,8,A
ADM008,Aisha Khan,8,A
ADM009,Suresh Pillai,8,B
ADM010,Layla Hassan,8,B
ADM011,Arjun Nair,7,A
ADM012,Meera Das,7,A
ADM013,Yusuf Ibrahim,7,B
ADM014,Kavya Reddy,6,A
ADM015,Omar Farooq,6,A
ADM016,Deepa Menon,6,B
ADM017,Ali Hassan,5,A
ADM018,Sneha Patel,5,A
ADM019,Rahul Singh,5,B
ADM020,Amina Siddiq,5,B
